id,text
1,A person experiencing chest pain should consult a Cardiologist.
2,A person experiencing skin rash should consult a Dermatologist.
3,A person experiencing vision problems should consult a Ophthalmologist.
4,A person experiencing toothache should consult a Dentist.
5,A person experiencing back pain should consult a Orthopedic.
6,A person experiencing frequent urination should consult a Urologist.
7,A person experiencing stomach ache should consult a Gastroenterologist.
8,A person experiencing fever should consult a General Physician.
9,A person experiencing anxiety should consult a Psychiatrist.
10,A person experiencing pregnancy care should consult a Gynecologist.
